name,weighted_datavalue_0.2
,null
confidence ACC,0.4970833333333333
entropy ACC,0.4970833333333333
modified entropy ACC,0.4945833333333333
loss ACC,0.4970833333333333
confidence AUC,0.2682201388888889
entropy AUC,0.21396076388888885
modified entropy AUC,0.27387951388888887
modified entropy AUC,0.2682201388888889
grad_wrt_x_l1 ACC,0.47875
grad_wrt_x_l2 ACC,0.4825
grad_wrt_w_l1 ACC,0.47875
grad_wrt_w_l2 ACC,0.4841666666666667
grad_wrt_x_l1 AUC,0.6599534722222222
grad_wrt_x_l2 AUC,0.6629815972222223
grad_wrt_w_l1 AUC,0.6881045138888889
grad_wrt_w_l2 AUC,0.6814319444444444
