name,weighted_dataindex_-0.3
,null
confidence ACC,0.47041666666666665
entropy ACC,0.47208333333333335
modified entropy ACC,0.47041666666666665
loss ACC,0.47041666666666665
confidence AUC,0.23233055555555554
entropy AUC,0.13736145833333335
modified entropy AUC,0.24150555555555556
modified entropy AUC,0.23233055555555554
grad_wrt_x_l1 ACC,0.44875
grad_wrt_x_l2 ACC,0.4533333333333333
grad_wrt_w_l1 ACC,0.44583333333333336
grad_wrt_w_l2 ACC,0.44958333333333333
grad_wrt_x_l1 AUC,0.6367131944444445
grad_wrt_x_l2 AUC,0.6396298611111111
grad_wrt_w_l1 AUC,0.6620579861111111
grad_wrt_w_l2 AUC,0.6547399305555556
