name,weighted_datavalue_-0.3
,null
confidence ACC,0.49916666666666665
entropy ACC,0.49916666666666665
modified entropy ACC,0.49916666666666665
loss ACC,0.49916666666666665
confidence AUC,0.34586701388888885
entropy AUC,0.2801986111111111
modified entropy AUC,0.3522222222222222
modified entropy AUC,0.3458673611111111
grad_wrt_x_l1 ACC,0.49125
grad_wrt_x_l2 ACC,0.49291666666666667
grad_wrt_w_l1 ACC,0.4895833333333333
grad_wrt_w_l2 ACC,0.4920833333333333
grad_wrt_x_l1 AUC,0.49850555555555554
grad_wrt_x_l2 AUC,0.5047854166666668
grad_wrt_w_l1 AUC,0.56455
grad_wrt_w_l2 AUC,0.5629527777777777
