name,all_defense_0
,null
confidence ACC,0.6420833333333333
entropy ACC,0.615
modified entropy ACC,0.6391666666666667
loss ACC,0.6420833333333333
confidence AUC,0.7238590277777779
entropy AUC,0.6681229166666667
modified entropy AUC,0.7233625000000001
modified entropy AUC,0.7238590277777779
grad_wrt_x_l1 ACC,0.6454166666666666
grad_wrt_x_l2 ACC,0.6458333333333334
grad_wrt_w_l1 ACC,0.6487499999999999
grad_wrt_w_l2 ACC,0.65
grad_wrt_x_l1 AUC,0.7208368055555556
grad_wrt_x_l2 AUC,0.7207194444444445
grad_wrt_w_l1 AUC,0.7213020833333335
grad_wrt_w_l2 AUC,0.7213854166666667
