name,weighted_dataindex_0.1
,null
confidence ACC,0.4995833333333333
entropy ACC,0.4995833333333333
modified entropy ACC,0.4995833333333333
loss ACC,0.4995833333333333
confidence AUC,0.3373541666666667
entropy AUC,0.29953125
modified entropy AUC,0.34269374999999996
modified entropy AUC,0.3373541666666667
grad_wrt_x_l1 ACC,0.49541666666666667
grad_wrt_x_l2 ACC,0.4979166666666667
grad_wrt_w_l1 ACC,0.4945833333333333
grad_wrt_w_l2 ACC,0.4975
grad_wrt_x_l1 AUC,0.5293486111111111
grad_wrt_x_l2 AUC,0.53276875
grad_wrt_w_l1 AUC,0.5938631944444445
grad_wrt_w_l2 AUC,0.5826541666666667
