name,weighted_dataindex_s_-0.1
,null
confidence ACC,0.49375
entropy ACC,0.49416666666666664
modified entropy ACC,0.49291666666666667
loss ACC,0.49375
confidence AUC,0.2708451388888889
entropy AUC,0.19518194444444448
modified entropy AUC,0.27669236111111106
modified entropy AUC,0.2708451388888889
grad_wrt_x_l1 ACC,0.4766666666666667
grad_wrt_x_l2 ACC,0.48125
grad_wrt_w_l1 ACC,0.4775
grad_wrt_w_l2 ACC,0.48083333333333333
grad_wrt_x_l1 AUC,0.6099319444444444
grad_wrt_x_l2 AUC,0.6129611111111111
grad_wrt_w_l1 AUC,0.6553048611111111
grad_wrt_w_l2 AUC,0.6503569444444444
