name,weighted_dataindex_-0.2
,null
confidence ACC,0.4791666666666667
entropy ACC,0.48083333333333333
modified entropy ACC,0.47791666666666666
loss ACC,0.4791666666666667
confidence AUC,0.23643333333333333
entropy AUC,0.1423861111111111
modified entropy AUC,0.24762152777777777
modified entropy AUC,0.23643333333333333
grad_wrt_x_l1 ACC,0.4583333333333333
grad_wrt_x_l2 ACC,0.4633333333333333
grad_wrt_w_l1 ACC,0.4554166666666667
grad_wrt_w_l2 ACC,0.45916666666666667
grad_wrt_x_l1 AUC,0.6624666666666666
grad_wrt_x_l2 AUC,0.6632173611111111
grad_wrt_w_l1 AUC,0.6835611111111111
grad_wrt_w_l2 AUC,0.6736458333333334
