name,weighted_datavalue_0.1
,null
confidence ACC,0.4975
entropy ACC,0.4979166666666667
modified entropy ACC,0.49666666666666665
loss ACC,0.4975
confidence AUC,0.2811076388888889
entropy AUC,0.2170815972222222
modified entropy AUC,0.289025
modified entropy AUC,0.2811076388888889
grad_wrt_x_l1 ACC,0.48375
grad_wrt_x_l2 ACC,0.48541666666666666
grad_wrt_w_l1 ACC,0.4825
grad_wrt_w_l2 ACC,0.48583333333333334
grad_wrt_x_l1 AUC,0.6005673611111111
grad_wrt_x_l2 AUC,0.6050388888888889
grad_wrt_w_l1 AUC,0.6378222222222223
grad_wrt_w_l2 AUC,0.6285361111111111
