name,weighted_dataindex_0.5
,null
confidence ACC,0.5741666666666667
entropy ACC,0.55375
modified entropy ACC,0.5708333333333333
loss ACC,0.5741666666666667
confidence AUC,0.84144375
entropy AUC,0.8218805555555555
modified entropy AUC,0.8424805555555555
modified entropy AUC,0.84144375
grad_wrt_x_l1 ACC,0.5641666666666667
grad_wrt_x_l2 ACC,0.5504166666666667
grad_wrt_w_l1 ACC,0.5841666666666667
grad_wrt_w_l2 ACC,0.5775
grad_wrt_x_l1 AUC,0.7269534722222222
grad_wrt_x_l2 AUC,0.7272993055555557
grad_wrt_w_l1 AUC,0.7495017361111111
grad_wrt_w_l2 AUC,0.7636194444444445
