name,weighted_datavalue_s_-0.2
,null
confidence ACC,0.6491666666666667
entropy ACC,0.62
modified entropy ACC,0.6416666666666666
loss ACC,0.6491666666666667
confidence AUC,0.8102236111111111
entropy AUC,0.7773104166666667
modified entropy AUC,0.8105503472222222
modified entropy AUC,0.8102236111111111
grad_wrt_x_l1 ACC,0.6091666666666666
grad_wrt_x_l2 ACC,0.60125
grad_wrt_w_l1 ACC,0.6466666666666666
grad_wrt_w_l2 ACC,0.6383333333333333
grad_wrt_x_l1 AUC,0.7881597222222223
grad_wrt_x_l2 AUC,0.78823125
grad_wrt_w_l1 AUC,0.7962812499999999
grad_wrt_w_l2 AUC,0.7993055555555556
