name,weighted_datavalue_s_-0.1
,null
confidence ACC,0.52
entropy ACC,0.5125
modified entropy ACC,0.5225
loss ACC,0.52
confidence AUC,0.7521128472222223
entropy AUC,0.7214118055555556
modified entropy AUC,0.7531888888888889
modified entropy AUC,0.7521128472222223
grad_wrt_x_l1 ACC,0.515
grad_wrt_x_l2 ACC,0.51125
grad_wrt_w_l1 ACC,0.5266666666666666
grad_wrt_w_l2 ACC,0.5237499999999999
grad_wrt_x_l1 AUC,0.6035534722222222
grad_wrt_x_l2 AUC,0.6056833333333334
grad_wrt_w_l1 AUC,0.63095625
grad_wrt_w_l2 AUC,0.6435562499999999
