name,weighted_datavalue_-0.1
,null
confidence ACC,0.4975
entropy ACC,0.4975
modified entropy ACC,0.4970833333333333
loss ACC,0.4975
confidence AUC,0.2905756944444445
entropy AUC,0.22555277777777774
modified entropy AUC,0.29680486111111115
modified entropy AUC,0.2905756944444445
grad_wrt_x_l1 ACC,0.48583333333333334
grad_wrt_x_l2 ACC,0.49041666666666667
grad_wrt_w_l1 ACC,0.48333333333333334
grad_wrt_w_l2 ACC,0.4891666666666667
grad_wrt_x_l1 AUC,0.5512423611111111
grad_wrt_x_l2 AUC,0.5561479166666667
grad_wrt_w_l1 AUC,0.6115034722222221
grad_wrt_w_l2 AUC,0.602786111111111
