name,all_defense_300
,null
confidence ACC,0.50125
entropy ACC,0.5
modified entropy ACC,0.50125
loss ACC,0.50125
confidence AUC,0.8447520833333333
entropy AUC,0.7836166666666665
modified entropy AUC,0.846425
modified entropy AUC,0.8447520833333333
grad_wrt_x_l1 ACC,0.5083333333333333
grad_wrt_x_l2 ACC,0.5045833333333334
grad_wrt_w_l1 ACC,0.5120833333333333
grad_wrt_w_l2 ACC,0.5079166666666667
grad_wrt_x_l1 AUC,0.7423847222222223
grad_wrt_x_l2 AUC,0.7436569444444444
grad_wrt_w_l1 AUC,0.7637513888888889
grad_wrt_w_l2 AUC,0.7829145833333334
