name,weighted_datavalue_0.5
,null
confidence ACC,0.49666666666666665
entropy ACC,0.49666666666666665
modified entropy ACC,0.49625
loss ACC,0.49666666666666665
confidence AUC,0.23036041666666668
entropy AUC,0.17599062499999998
modified entropy AUC,0.23501458333333333
modified entropy AUC,0.23036006944444445
grad_wrt_x_l1 ACC,0.485
grad_wrt_x_l2 ACC,0.48666666666666664
grad_wrt_w_l1 ACC,0.49
grad_wrt_w_l2 ACC,0.4891666666666667
grad_wrt_x_l1 AUC,0.7487520833333333
grad_wrt_x_l2 AUC,0.7494916666666668
grad_wrt_w_l1 AUC,0.7645986111111112
grad_wrt_w_l2 AUC,0.7489555555555555
