name,weighted_dataindex_-0.5
,null
confidence ACC,0.45958333333333334
entropy ACC,0.46166666666666667
modified entropy ACC,0.4579166666666667
loss ACC,0.45958333333333334
confidence AUC,0.22283819444444442
entropy AUC,0.14546874999999998
modified entropy AUC,0.23196076388888887
modified entropy AUC,0.22283854166666667
grad_wrt_x_l1 ACC,0.44125
grad_wrt_x_l2 ACC,0.4454166666666667
grad_wrt_w_l1 ACC,0.44083333333333335
grad_wrt_w_l2 ACC,0.44208333333333333
grad_wrt_x_l1 AUC,0.6737569444444446
grad_wrt_x_l2 AUC,0.6753111111111112
grad_wrt_w_l1 AUC,0.6844784722222221
grad_wrt_w_l2 AUC,0.6646104166666666
