name,weighted_dataindex_-0.4
,null
confidence ACC,0.46375
entropy ACC,0.465
modified entropy ACC,0.46166666666666667
loss ACC,0.46375
confidence AUC,0.21505694444444445
entropy AUC,0.13415381944444443
modified entropy AUC,0.22600590277777777
modified entropy AUC,0.21505694444444445
grad_wrt_x_l1 ACC,0.4425
grad_wrt_x_l2 ACC,0.445
grad_wrt_w_l1 ACC,0.44
grad_wrt_w_l2 ACC,0.44416666666666665
grad_wrt_x_l1 AUC,0.6727666666666666
grad_wrt_x_l2 AUC,0.6736729166666666
grad_wrt_w_l1 AUC,0.6933736111111111
grad_wrt_w_l2 AUC,0.67626875
