name,weighted_datavalue_s_0.1
,null
confidence ACC,0.4666666666666667
entropy ACC,0.46708333333333335
modified entropy ACC,0.46541666666666665
loss ACC,0.4666666666666667
confidence AUC,0.22192291666666666
entropy AUC,0.13990555555555556
modified entropy AUC,0.23216319444444444
modified entropy AUC,0.2219229166666667
grad_wrt_x_l1 ACC,0.4454166666666667
grad_wrt_x_l2 ACC,0.44958333333333333
grad_wrt_w_l1 ACC,0.44083333333333335
grad_wrt_w_l2 ACC,0.44583333333333336
grad_wrt_x_l1 AUC,0.6633465277777778
grad_wrt_x_l2 AUC,0.6624694444444446
grad_wrt_w_l1 AUC,0.679088888888889
grad_wrt_w_l2 AUC,0.6659673611111111
